Directory,Filename,Width,Height
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01751_B.png,01751_B.png,245,549
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01751_T.png,01751_T.png,248,557
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01752_B.png,01752_B.png,303,846
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01754_T.png,01754_T.png,235,539
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01753_T.png,01753_T.png,231,569
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01753_B.png,01753_B.png,230,564
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01754_B.png,01754_B.png,233,531
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01752_T.png,01752_T.png,233,508
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01755_B.png,01755_B.png,245,606
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01756_B.png,01756_B.png,226,547
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01755_T.png,01755_T.png,248,607
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01756_T.png,01756_T.png,225,550
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01757_B.png,01757_B.png,231,546
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01758_B.png,01758_B.png,232,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01759_B.png,01759_B.png,253,655
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01759_T.png,01759_T.png,255,661
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01758_T.png,01758_T.png,234,580
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01760_B.png,01760_B.png,258,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01761_B.png,01761_B.png,226,523
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01761_T.png,01761_T.png,228,526
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01760_T.png,01760_T.png,258,585
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01762_T.png,01762_T.png,220,612
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01762_B.png,01762_B.png,223,593
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01763_B.png,01763_B.png,213,472
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01763_T.png,01763_T.png,200,472
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01764_B.png,01764_B.png,247,552
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01765_B.png,01765_B.png,157,528
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01765_T.png,01765_T.png,151,532
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01766_B.png,01766_B.png,247,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01766_T.png,01766_T.png,251,503
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01767_B.png,01767_B.png,228,589
